second, average, variance
0, 0.0, 0.0
1, 0.0, 0.0
2, 0.0, 0.0
3, 0.0, 0.0
4, 0.0, 0.0
5, 0.0, 0.0
6, 0.0, 0.0
7, 0.0, 0.0
8, 0.0, 0.0
9, 0.0, 0.0
10, 0.0, 0.0
11, 49.25, 10.1875
12, 137.25, 18.6875
13, 203.5, 34.25
14, 262.75, 283.1875
15, 430.25, 147.1875
16, 451.5, 467.25
17, 452.0, 1140.5
18, 457.75, 379.6875
19, 495.75, 75.6875
20, 487.75, 496.1875
21, 422.0, 622.5
22, 428.5, 487.25
23, 448.25, 627.1875
24, 467.25, 167.1875
25, 478.5, 645.25
26, 476.0, 37.5
27, 468.0, 85.0
28, 522.0, 1731.5
29, 493.0, 1199.5
30, 522.25, 125.6875
31, 532.0, 123.5
32, 514.0, 294.5
33, 556.5, 152.75
34, 585.25, 213.6875
35, 628.0, 1261.5
36, 694.75, 1981.6875
37, 646.0, 867.5
38, 703.75, 629.1875
39, 681.25, 685.6875
40, 704.5, 1468.25
41, 645.25, 398.1875
42, 685.5, 73.25
43, 729.0, 384.5
44, 731.0, 141.0
45, 764.25, 192.1875
46, 746.75, 827.1875
47, 712.25, 253.6875
48, 728.25, 980.1875
49, 733.0, 724.0
50, 845.75, 122.6875
51, 839.5, 1000.25
52, 817.75, 375.6875
53, 738.75, 1105.6875
54, 740.75, 166.1875
55, 725.5, 1310.75
56, 723.75, 338.6875
57, 702.0, 230.0
58, 710.0, 637.5
59, 745.75, 589.1875
60, 778.25, 95.1875
61, 862.0, 1137.5
62, 1005.5, 2017.25
63, 489.5, 212.75
64, 491.0, 496.5
65, 489.25, 862.6875
66, 495.5, 234.25
67, 499.5, 52.75
68, 493.5, 100.25
69, 492.0, 163.5
70, 488.25, 196.1875
71, 492.5, 438.75
72, 489.25, 1046.1875
73, 521.25, 366.1875
74, 501.0, 39.5
75, 479.5, 367.25
76, 488.25, 173.1875
77, 497.0, 201.0
78, 497.5, 351.25
79, 499.0, 178.5
80, 490.25, 99.6875
81, 470.0, 481.0
82, 575.25, 244.6875
83, 639.75, 127.6875
84, 649.75, 204.1875
85, 705.5, 151.25
86, 846.25, 492.1875
87, 895.75, 425.6875
88, 903.25, 137.1875
89, 921.0, 309.0
90, 904.75, 1367.1875
91, 937.25, 1013.1875
92, 938.25, 883.6875
93, 925.0, 1045.5
94, 884.5, 685.25
95, 921.75, 3008.1875
96, 935.0, 1374.0
97, 948.75, 926.6875
98, 955.5, 396.25
99, 978.5, 1345.25
100, 967.75, 465.1875
101, 973.0, 1656.5
102, 963.25, 836.6875
103, 938.0, 561.5
104, 970.75, 633.6875
105, 1010.0, 581.5
106, 986.25, 105.6875
107, 994.0, 740.5
108, 1031.5, 1292.25
109, 1047.75, 723.6875
110, 1018.0, 611.0
111, 1102.5, 758.75
112, 1103.0, 973.5
113, 1112.0, 663.5
114, 1107.75, 246.1875
115, 1119.25, 1301.1875
116, 1132.25, 583.1875
117, 1119.0, 1911.5
118, 1073.25, 224.1875
119, 1131.5, 137.25
120, 1140.75, 2071.6875
121, 1150.0, 162.5
122, 1134.0, 1486.0
123, 1144.0, 729.5
124, 1122.25, 959.1875
125, 1130.5, 610.25
126, 1118.0, 3850.0
127, 1189.25, 1506.1875
128, 1110.5, 131.25
129, 630.75, 660.6875
130, 491.25, 17.1875
131, 494.25, 991.6875
132, 487.75, 567.6875
133, 485.0, 1488.5
134, 491.5, 632.25
135, 496.25, 8.1875
136, 489.5, 137.25
137, 489.5, 319.25
138, 489.5, 152.25
139, 491.5, 242.75
140, 486.25, 214.6875
141, 488.0, 27.5
142, 485.0, 105.5
143, 494.75, 208.1875
144, 490.25, 395.6875
145, 487.5, 130.25
146, 487.5, 152.75
147, 491.75, 187.6875
148, 488.0, 729.5
149, 489.0, 306.5
150, 488.0, 991.5
151, 488.75, 547.6875
152, 490.75, 181.6875
153, 490.0, 26.0
154, 489.0, 38.5
155, 490.5, 1538.75
156, 487.25, 400.6875
157, 492.25, 1438.6875
158, 487.75, 1311.1875
159, 489.25, 602.1875
160, 489.0, 721.5
161, 492.75, 169.1875
162, 489.25, 1407.6875
163, 508.25, 215.1875
164, 490.25, 222.1875
165, 491.75, 222.1875
166, 485.25, 614.1875
167, 493.0, 171.5
168, 489.75, 338.1875
169, 491.5, 137.25
170, 490.0, 312.5
171, 491.0, 138.5
172, 484.5, 46.75
173, 489.25, 57.6875
174, 485.0, 1180.5
175, 487.25, 210.6875
176, 485.5, 422.75
177, 489.5, 290.75
178, 490.5, 604.75
179, 487.75, 296.1875
180, 482.75, 109.1875
181, 486.5, 851.25
182, 491.25, 390.1875
183, 488.0, 208.5
184, 488.25, 215.6875
185, 488.25, 527.1875
186, 485.0, 478.5
187, 493.25, 82.6875
188, 492.5, 574.25
189, 484.0, 401.5
190, 492.0, 428.5
191, 488.75, 247.1875
192, 496.0, 209.5
193, 488.75, 56.1875
194, 489.25, 288.1875
195, 477.25, 203.1875
196, 484.5, 366.25
197, 490.75, 131.6875
198, 486.5, 240.75
199, 485.75, 140.1875
200, 488.0, 189.5
201, 487.25, 93.1875
202, 490.0, 329.5
203, 491.75, 50.1875
204, 493.0, 355.0
205, 483.5, 839.25
206, 492.5, 200.75
207, 484.75, 1391.1875
208, 489.0, 96.5
209, 494.75, 413.1875
210, 488.0, 643.5
211, 486.5, 594.25
212, 483.25, 207.6875
213, 484.75, 317.1875
214, 490.75, 658.6875
215, 489.0, 150.5
216, 492.25, 1023.6875
217, 487.25, 1038.1875
218, 485.0, 586.5
219, 489.25, 471.1875
220, 484.0, 100.5
221, 490.25, 235.6875
222, 483.5, 402.75
223, 485.0, 379.5
224, 493.25, 543.6875
225, 489.75, 495.6875
226, 489.25, 419.6875
227, 472.0, 884.0
228, 485.25, 434.1875
229, 499.25, 90.6875
230, 495.0, 714.5
231, 487.75, 178.6875
232, 491.0, 318.5
233, 540.0, 269.5
234, 630.0, 1157.5
235, 654.75, 884.1875
236, 674.75, 942.1875
237, 835.25, 938.6875
238, 889.5, 677.25
239, 938.25, 41.6875
240, 915.0, 1128.5
241, 944.0, 1313.5
242, 940.25, 264.1875
243, 952.25, 1295.6875
244, 930.0, 187.5
245, 930.5, 881.25
246, 962.5, 687.25
247, 958.5, 652.75
248, 963.75, 260.1875
249, 950.5, 777.25
250, 965.5, 2377.25
251, 954.0, 3218.5
252, 956.5, 1517.25
253, 950.5, 1270.25
254, 979.0, 696.0
255, 971.75, 1262.6875
256, 1009.75, 414.6875
257, 1024.0, 1665.5
258, 1020.5, 1172.75
259, 1052.25, 408.6875
260, 1098.75, 2173.6875
261, 1096.0, 568.5
262, 1112.25, 886.1875
263, 1135.25, 1265.1875
264, 1177.5, 424.75
265, 1111.25, 783.1875
266, 1212.5, 1448.75
267, 1211.5, 3602.25
268, 1241.0, 502.5
269, 1235.25, 289.6875
270, 1252.75, 87.1875
271, 1287.25, 431.6875
272, 1263.25, 1925.1875
273, 1250.0, 3454.5
274, 1229.0, 1590.5
275, 1246.25, 2559.6875
276, 1277.75, 1172.1875
277, 723.0, 417.5
278, 486.75, 235.6875
279, 486.5, 368.75
280, 489.75, 265.6875
281, 485.75, 1400.6875
282, 487.0, 1554.5
283, 492.5, 614.25
284, 486.25, 118.6875
285, 494.0, 405.0
286, 490.75, 754.6875
287, 486.5, 474.75
288, 494.0, 307.5
289, 486.75, 204.1875
290, 487.0, 739.5
291, 487.75, 138.6875
292, 491.5, 277.25
293, 486.5, 132.25
294, 493.5, 156.75
295, 484.25, 453.1875
296, 484.75, 963.6875
297, 492.0, 569.0
298, 490.75, 317.1875
299, 490.5, 528.75
300, 490.25, 113.1875
301, 488.75, 438.6875
302, 485.25, 417.6875
303, 491.0, 824.0
304, 488.0, 214.0
305, 488.75, 813.1875
306, 490.25, 580.6875
307, 482.5, 156.25
308, 487.75, 197.6875
309, 491.0, 336.5
310, 491.25, 753.1875
311, 485.5, 431.25
312, 482.75, 40.6875
313, 487.5, 1042.75
314, 484.0, 321.5
315, 484.25, 1695.6875
316, 486.25, 519.6875
317, 481.25, 68.6875
318, 490.5, 582.25
319, 486.25, 188.1875
320, 491.0, 387.5
321, 485.25, 355.6875
322, 485.5, 234.75
323, 486.75, 201.6875
324, 487.0, 411.0
325, 489.0, 135.5
326, 488.5, 1080.25
327, 490.0, 1856.5
328, 496.25, 243.6875
329, 487.75, 246.6875
330, 488.5, 898.25
331, 485.25, 186.6875
332, 483.5, 417.25
333, 488.0, 144.5
334, 487.75, 488.1875
335, 492.5, 574.25
336, 486.25, 310.1875
337, 488.75, 739.6875
338, 488.5, 416.75
339, 489.0, 177.5
340, 485.0, 307.5
341, 491.25, 421.1875
342, 486.75, 459.6875
343, 494.25, 634.6875
344, 486.5, 146.25
345, 485.0, 326.5
346, 494.25, 430.6875
347, 505.75, 63.6875
348, 484.25, 15.6875
349, 485.75, 115.6875
350, 487.0, 1022.0
351, 485.0, 287.5
352, 490.0, 360.5
353, 489.5, 31.25
354, 487.75, 1361.6875
355, 487.25, 188.1875
356, 489.25, 51.6875
357, 488.75, 662.1875
358, 486.5, 192.75
359, 491.75, 259.1875
360, 487.25, 674.1875
361, 484.5, 84.75
362, 488.75, 52.6875
363, 493.5, 444.25
364, 490.75, 392.6875
365, 497.0, 843.0
366, 491.0, 176.5
367, 485.75, 54.1875
368, 486.25, 505.1875
369, 488.75, 165.1875
370, 485.75, 338.6875
371, 504.75, 237.6875
372, 575.75, 131.1875
373, 623.5, 895.25
374, 661.25, 339.1875
375, 723.5, 288.75
376, 785.5, 716.75
377, 891.0, 645.5
378, 903.25, 1144.1875
379, 880.75, 2357.6875
380, 907.25, 1369.6875
381, 914.5, 496.25
382, 918.0, 650.0
383, 916.0, 441.0
384, 906.25, 1849.1875
385, 919.25, 101.1875
386, 921.5, 637.25
387, 965.75, 435.6875
388, 962.5, 1163.25
389, 952.0, 1168.5
390, 978.0, 1498.5
391, 971.75, 321.6875
392, 960.0, 349.0
393, 973.25, 742.6875
394, 953.5, 147.25
395, 979.0, 753.5
396, 984.5, 1057.25
397, 981.0, 1668.0
398, 1004.0, 378.5
399, 968.5, 1993.25
400, 978.5, 614.25
401, 1018.5, 860.25
402, 1016.0, 2918.5
403, 1019.25, 2421.6875
404, 1018.75, 443.1875
405, 1047.0, 507.5
406, 1054.0, 1332.5
407, 1078.5, 13.25
408, 1107.25, 2052.1875
409, 1120.25, 445.1875
410, 1071.0, 117.0
411, 1130.75, 2528.1875
412, 1141.5, 2335.25
413, 1158.5, 1109.25
414, 1030.75, 842.1875
415, 919.25, 1121.1875
416, 972.0, 1706.0
417, 1074.0, 707.5
418, 1117.25, 298.1875
419, 1072.25, 1270.6875
420, 698.5, 691.25
421, 827.5, 1031.25
422, 760.5, 617.25
423, 486.25, 617.1875
424, 487.5, 424.75
425, 488.25, 1042.1875
426, 485.75, 358.1875
427, 487.5, 446.25
428, 487.25, 195.6875
429, 487.25, 494.6875
430, 482.75, 1266.1875
431, 486.5, 853.25
432, 489.0, 1368.5
433, 487.25, 718.6875
434, 489.75, 1287.1875
435, 488.75, 62.1875
436, 489.25, 63.6875
437, 489.0, 516.5
438, 486.0, 425.5
439, 488.5, 259.25
440, 488.25, 1341.1875
441, 487.75, 36.1875
442, 492.25, 380.1875
443, 484.5, 636.75
444, 488.5, 1006.75
445, 492.0, 46.5
446, 493.0, 346.5
447, 482.5, 448.25
448, 491.0, 53.5
449, 488.75, 524.1875
450, 490.25, 417.1875
451, 483.25, 174.6875
452, 490.5, 310.25
453, 487.5, 77.25
454, 489.5, 955.25
455, 493.25, 1491.6875
456, 485.0, 649.5
457, 489.0, 271.5
458, 489.0, 147.5
459, 492.75, 585.6875
460, 483.25, 277.6875
461, 489.0, 461.5
462, 488.0, 291.5
463, 491.0, 306.5
464, 488.25, 38.6875
465, 488.75, 571.6875
466, 485.75, 1758.6875
467, 490.0, 270.0
468, 487.0, 58.5
469, 484.75, 267.1875
470, 488.5, 622.75
471, 484.75, 891.6875
472, 492.0, 1159.5
473, 488.5, 924.75
474, 485.5, 370.75
475, 481.75, 264.1875
476, 488.25, 412.6875
477, 494.0, 306.5
478, 488.25, 442.1875
479, 490.0, 616.5
480, 487.0, 974.0
481, 486.5, 52.25
482, 487.5, 280.75
483, 488.75, 75.6875
484, 484.0, 422.5
485, 302.25, 10.6875
486, 0.0, 0.0
487, 0.0, 0.0
